paper_id,table_figure,claim,value_script,value_paper,match,value_rewrite,match_rewrite,defect_locus,notes
coppock_mcclellan_2019,Appendix Table 1,"Distance, Female",0.159,0.159,1,0.159,1,NA,|MTurk - ANES 2012| - |Lucid - ANES 2012| in standardized units. Deterministic: no resampling enters the point estimate
coppock_mcclellan_2019,Appendix Table 1,"Distance, Education",0.285,0.285,1,0.285,1,NA,|MTurk - ANES 2012| - |Lucid - ANES 2012| in standardized units. Deterministic: no resampling enters the point estimate
coppock_mcclellan_2019,Appendix Table 1,"Distance, Age",0.708,0.708,1,0.708,1,NA,|MTurk - ANES 2012| - |Lucid - ANES 2012| in standardized units. Deterministic: no resampling enters the point estimate
coppock_mcclellan_2019,Appendix Table 1,"Distance, Mean income",0.099,0.099,1,0.099,1,NA,|MTurk - ANES 2012| - |Lucid - ANES 2012| in standardized units. Deterministic: no resampling enters the point estimate
coppock_mcclellan_2019,Appendix Table 1,"Distance, White",0.018,0.018,1,0.018,1,NA,|MTurk - ANES 2012| - |Lucid - ANES 2012| in standardized units. Deterministic: no resampling enters the point estimate
coppock_mcclellan_2019,Appendix Table 1,"Distance, Black",0.152,0.152,1,0.152,1,NA,|MTurk - ANES 2012| - |Lucid - ANES 2012| in standardized units. Deterministic: no resampling enters the point estimate
coppock_mcclellan_2019,Appendix Table 1,"Distance, Hispanic",-0.042,-0.042,1,-0.042,1,NA,|MTurk - ANES 2012| - |Lucid - ANES 2012| in standardized units. Deterministic: no resampling enters the point estimate
coppock_mcclellan_2019,Appendix Table 1,"Distance, Northeast",0.079,0.079,1,0.079,1,NA,|MTurk - ANES 2012| - |Lucid - ANES 2012| in standardized units. Deterministic: no resampling enters the point estimate
coppock_mcclellan_2019,Appendix Table 1,"Distance, Midwest",0.052,0.052,1,0.052,1,NA,|MTurk - ANES 2012| - |Lucid - ANES 2012| in standardized units. Deterministic: no resampling enters the point estimate
coppock_mcclellan_2019,Appendix Table 1,"Distance, South",0.137,0.137,1,0.137,1,NA,|MTurk - ANES 2012| - |Lucid - ANES 2012| in standardized units. Deterministic: no resampling enters the point estimate
coppock_mcclellan_2019,Appendix Table 1,"Distance, West",-0.007,-0.007,1,-0.007,1,NA,|MTurk - ANES 2012| - |Lucid - ANES 2012| in standardized units. Deterministic: no resampling enters the point estimate
coppock_mcclellan_2019,Appendix Table 1,"Distance, Voter registration",0.076,0.076,1,0.076,1,NA,|MTurk - ANES 2012| - |Lucid - ANES 2012| in standardized units. Deterministic: no resampling enters the point estimate
coppock_mcclellan_2019,Appendix Table 1,"Distance, Voter turnout",-0.124,-0.124,1,-0.124,1,NA,|MTurk - ANES 2012| - |Lucid - ANES 2012| in standardized units. Deterministic: no resampling enters the point estimate
coppock_mcclellan_2019,Appendix Table 1,"Distance, Party ID",0.117,0.117,1,0.117,1,NA,|MTurk - ANES 2012| - |Lucid - ANES 2012| in standardized units. Deterministic: no resampling enters the point estimate
coppock_mcclellan_2019,Appendix Table 1,"Distance, Ideology",0.465,0.465,1,0.465,1,NA,|MTurk - ANES 2012| - |Lucid - ANES 2012| in standardized units. Deterministic: no resampling enters the point estimate
coppock_mcclellan_2019,Appendix Table 1,"Distance, Political Interest",0.54,0.54,1,0.54,1,NA,|MTurk - ANES 2012| - |Lucid - ANES 2012| in standardized units. Deterministic: no resampling enters the point estimate
coppock_mcclellan_2019,Appendix Table 1,"Distance, Extraverted",0.1,0.1,1,0.1,1,NA,|MTurk - ANES 2012| - |Lucid - ANES 2012| in standardized units. Deterministic: no resampling enters the point estimate
coppock_mcclellan_2019,Appendix Table 1,"Distance, Agreeable",0.203,0.203,1,0.203,1,NA,|MTurk - ANES 2012| - |Lucid - ANES 2012| in standardized units. Deterministic: no resampling enters the point estimate
coppock_mcclellan_2019,Appendix Table 1,"Distance, Conscientious",0.42,0.42,1,0.42,1,NA,|MTurk - ANES 2012| - |Lucid - ANES 2012| in standardized units. Deterministic: no resampling enters the point estimate
coppock_mcclellan_2019,Appendix Table 1,"Distance, Stable",0.248,0.248,1,0.248,1,NA,|MTurk - ANES 2012| - |Lucid - ANES 2012| in standardized units. Deterministic: no resampling enters the point estimate
coppock_mcclellan_2019,Appendix Table 1,"Distance, Open",0.157,0.157,1,0.157,1,NA,|MTurk - ANES 2012| - |Lucid - ANES 2012| in standardized units. Deterministic: no resampling enters the point estimate
coppock_mcclellan_2019,Appendix Table 1,"Bootstrap SE, Female",0.053,0.049,1,0.053,1,NA,"Bootstrap SE from 100 resamples. The deposit sets no seed; over 200 runs of its procedure the SE falls in [0.047, 0.063]"
coppock_mcclellan_2019,Appendix Table 1,"Bootstrap SE, Education",0.04,0.041,1,0.04,1,NA,"Bootstrap SE from 100 resamples. The deposit sets no seed; over 200 runs of its procedure the SE falls in [0.037, 0.048]"
coppock_mcclellan_2019,Appendix Table 1,"Bootstrap SE, Age",0.033,0.032,1,0.033,1,NA,"Bootstrap SE from 100 resamples. The deposit sets no seed; over 200 runs of its procedure the SE falls in [0.027, 0.035]"
coppock_mcclellan_2019,Appendix Table 1,"Bootstrap SE, Mean income",0.036,0.033,1,0.036,1,NA,"Bootstrap SE from 100 resamples. The deposit sets no seed; over 200 runs of its procedure the SE falls in [0.028, 0.037]"
coppock_mcclellan_2019,Appendix Table 1,"Bootstrap SE, White",0.044,0.041,1,0.044,1,NA,"Bootstrap SE from 100 resamples. The deposit sets no seed; over 200 runs of its procedure the SE falls in [0.035, 0.047]"
coppock_mcclellan_2019,Appendix Table 1,"Bootstrap SE, Black",0.032,0.033,1,0.032,1,NA,"Bootstrap SE from 100 resamples. The deposit sets no seed; over 200 runs of its procedure the SE falls in [0.026, 0.034]"
coppock_mcclellan_2019,Appendix Table 1,"Bootstrap SE, Hispanic",0.036,0.035,1,0.036,1,NA,"Bootstrap SE from 100 resamples. The deposit sets no seed; over 200 runs of its procedure the SE falls in [0.031, 0.042]"
coppock_mcclellan_2019,Appendix Table 1,"Bootstrap SE, Northeast",0.049,0.054,1,0.049,1,NA,"Bootstrap SE from 100 resamples. The deposit sets no seed; over 200 runs of its procedure the SE falls in [0.044, 0.058]"
coppock_mcclellan_2019,Appendix Table 1,"Bootstrap SE, Midwest",0.044,0.046,1,0.044,1,NA,"Bootstrap SE from 100 resamples. The deposit sets no seed; over 200 runs of its procedure the SE falls in [0.040, 0.052]"
coppock_mcclellan_2019,Appendix Table 1,"Bootstrap SE, South",0.063,0.064,1,0.063,1,NA,"Bootstrap SE from 100 resamples. The deposit sets no seed; over 200 runs of its procedure the SE falls in [0.049, 0.067]"
coppock_mcclellan_2019,Appendix Table 1,"Bootstrap SE, West",0.037,0.039,1,0.037,1,NA,"Bootstrap SE from 100 resamples. The deposit sets no seed; over 200 runs of its procedure the SE falls in [0.032, 0.044]"
coppock_mcclellan_2019,Appendix Table 1,"Bootstrap SE, Voter registration",0.052,0.05,1,0.052,1,NA,"Bootstrap SE from 100 resamples. The deposit sets no seed; over 200 runs of its procedure the SE falls in [0.045, 0.059]"
coppock_mcclellan_2019,Appendix Table 1,"Bootstrap SE, Voter turnout",0.042,0.044,1,0.042,1,NA,"Bootstrap SE from 100 resamples. The deposit sets no seed; over 200 runs of its procedure the SE falls in [0.037, 0.051]"
coppock_mcclellan_2019,Appendix Table 1,"Bootstrap SE, Party ID",0.057,0.055,1,0.057,1,NA,"Bootstrap SE from 100 resamples. The deposit sets no seed; over 200 runs of its procedure the SE falls in [0.047, 0.062]"
coppock_mcclellan_2019,Appendix Table 1,"Bootstrap SE, Ideology",0.065,0.069,1,0.065,1,NA,"Bootstrap SE from 100 resamples. The deposit sets no seed; over 200 runs of its procedure the SE falls in [0.058, 0.074]"
coppock_mcclellan_2019,Appendix Table 1,"Bootstrap SE, Political Interest",0.075,0.082,0,0.075,0,unresolved,"Bootstrap SE from 100 resamples. The deposit sets no seed; over 200 runs of its procedure the SE falls in [0.062, 0.082]. The published value sits outside that range. The sampler change of R 3.6 does not account for it: the range is no wider under RNGkind(sample.kind = ""Rounding""). One exceedance in 21 variables is what a 95 per cent interval produces by chance, so the cause is not established"
coppock_mcclellan_2019,Appendix Table 1,"Bootstrap SE, Extraverted",0.053,0.052,1,0.053,1,NA,"Bootstrap SE from 100 resamples. The deposit sets no seed; over 200 runs of its procedure the SE falls in [0.048, 0.063]"
coppock_mcclellan_2019,Appendix Table 1,"Bootstrap SE, Agreeable",0.069,0.077,1,0.069,1,NA,"Bootstrap SE from 100 resamples. The deposit sets no seed; over 200 runs of its procedure the SE falls in [0.064, 0.084]"
coppock_mcclellan_2019,Appendix Table 1,"Bootstrap SE, Conscientious",0.065,0.065,1,0.065,1,NA,"Bootstrap SE from 100 resamples. The deposit sets no seed; over 200 runs of its procedure the SE falls in [0.055, 0.075]"
coppock_mcclellan_2019,Appendix Table 1,"Bootstrap SE, Stable",0.051,0.054,1,0.051,1,NA,"Bootstrap SE from 100 resamples. The deposit sets no seed; over 200 runs of its procedure the SE falls in [0.046, 0.060]"
coppock_mcclellan_2019,Appendix Table 1,"Bootstrap SE, Open",0.064,0.069,1,0.064,1,NA,"Bootstrap SE from 100 resamples. The deposit sets no seed; over 200 runs of its procedure the SE falls in [0.056, 0.074]"
coppock_mcclellan_2019,Appendix Table 1,"p-value, Female",0,0,1,0,1,NA,"The published column is pnorm(2 * (1 - |z|)), the deposit's expression, not the two-tailed test the appendix describes. Over 200 runs it falls in [0.000, 0.001]"
coppock_mcclellan_2019,Appendix Table 1,"p-value, Education",0,0,1,0,1,NA,"The published column is pnorm(2 * (1 - |z|)), the deposit's expression, not the two-tailed test the appendix describes. Over 200 runs it falls in [0.000, 0.000]"
coppock_mcclellan_2019,Appendix Table 1,"p-value, Age",0,0,1,0,1,NA,"The published column is pnorm(2 * (1 - |z|)), the deposit's expression, not the two-tailed test the appendix describes. Over 200 runs it falls in [0.000, 0.000]"
coppock_mcclellan_2019,Appendix Table 1,"p-value, Mean income",0,0,1,0,1,NA,"The published column is pnorm(2 * (1 - |z|)), the deposit's expression, not the two-tailed test the appendix describes. Over 200 runs it falls in [0.000, 0.000]"
coppock_mcclellan_2019,Appendix Table 1,"p-value, White",0.883,0.873,1,0.883,1,NA,"The published column is pnorm(2 * (1 - |z|)), the deposit's expression, not the two-tailed test the appendix describes. Over 200 runs it falls in [0.838, 0.894]"
